Event,GR_ReceivedAt,GR_O,GR_H,GR_L,GR_C,GR_V,GR_TS,MB_ReceivedAt,MB_O,MB_H,MB_L,MB_C,MB_V,MB_TS,CX_ReceivedAt,CX_O,CX_H,CX_L,CX_C,CX_TS
1,08:27:31.025,1.0153,1.0155,1.0153,1.0155,0.37,2026-01-16T08:27:00Z,08:27:30.617,0.9991,1.0000,0.9991,1.0000,1417.81,08:25:00.000,08:27:35.269,0.9911,1.0000,0.9908,0.9995,08:27:33.000
2,08:27:35.330,1.0148,1.0155,1.0153,1.0155,0.37,2026-01-16T08:27:00Z,08:27:36.026,0.9991,1.0000,0.9990,0.9990,1421.46,08:25:00.000,08:28:01.128,0.9911,1.0000,0.9908,0.9995,08:27:59.000
3,08:29:22.959,1.0155,1.0155,1.0155,1.0155,0.00,2026-01-16T08:29:00Z,08:28:01.199,0.9991,1.0000,0.9990,1.0000,1607.40,08:25:00.000,08:29:10.602,0.9911,1.0000,0.9908,0.9996,08:29:09.000
4,08:29:25.551,1.0155,1.0155,1.0155,1.0155,0.00,2026-01-16T08:29:00Z,08:28:57.420,0.9993,1.0000,0.9990,1.0000,1468.94,08:25:00.000,08:29:23.003,0.9911,1.0000,0.9908,0.9996,08:29:21.000
5,08:29:38.853,1.0155,1.0160,1.0155,1.0160,0.38,2026-01-16T08:29:00Z,08:29:12.090,0.9993,1.0000,0.9990,0.9990,1481.93,08:25:00.000,08:29:25.868,0.9911,1.0000,0.9908,1.0000,08:29:23.000
6,08:29:50.879,1.0155,1.0161,1.0155,1.0161,0.52,2026-01-16T08:29:00Z,08:29:23.246,0.9993,1.0000,0.9990,0.9991,1484.59,08:25:00.000,08:29:39.060,0.9911,1.0002,0.9908,1.0002,08:29:37.000
7,08:29:54.737,1.0155,1.0164,1.0155,1.0164,0.73,2026-01-16T08:29:00Z,08:29:26.560,0.9993,1.0002,0.9990,1.0002,2484.07,08:25:00.000,08:29:51.035,0.9911,1.0002,0.9908,1.0002,08:29:49.000
8,08:30:03.261,1.0164,1.0167,1.0167,1.0167,0.34,2026-01-16T08:30:00Z,08:29:26.580,0.9993,1.0004,0.9990,1.0004,2607.25,08:25:00.000,08:29:54.722,0.9911,1.0005,0.9908,1.0005,08:29:53.000
9,08:30:17.657,1.0164,1.0168,1.0167,1.0168,0.41,2026-01-16T08:30:00Z,08:29:26.605,0.9993,1.0004,0.9990,1.0004,2728.20,08:25:00.000,08:30:03.436,0.9911,1.0008,0.9908,1.0008,08:30:01.000
10,08:31:27.085,1.0168,1.0167,1.0164,1.0164,0.38,2026-01-16T08:31:00Z,08:29:39.037,0.9993,1.0006,0.9990,1.0006,2960.61,08:25:00.000,08:30:16.789,0.9911,1.0009,0.9908,1.0009,08:30:15.000
11,08:31:31.570,1.0168,1.0167,1.0160,1.0160,0.73,2026-01-16T08:31:00Z,08:29:51.752,0.9993,1.0008,0.9990,1.0008,3209.19,08:25:00.000,08:31:23.318,0.9911,1.0009,0.9908,1.0009,08:31:21.000
12,08:32:27.144,1.0160,1.0157,1.0157,1.0157,0.06,2026-01-16T08:32:00Z,08:29:57.048,0.9993,1.0009,0.9990,1.0009,3903.87,08:25:00.000,08:31:27.392,0.9911,1.0009,0.9908,1.0006,08:31:25.000
13,08:32:38.887,1.0160,1.0162,1.0157,1.0162,0.51,2026-01-16T08:32:00Z,08:30:04.591,1.0009,1.0012,1.0009,1.0012,1124.57,08:30:00.000,08:31:28.776,0.9911,1.0009,0.9908,1.0002,08:31:27.000
14,08:32:44.260,1.0160,1.0164,1.0157,1.0164,0.69,2026-01-16T08:32:00Z,08:30:18.263,1.0009,1.0014,1.0009,1.0014,1375.67,08:30:00.000,08:31:31.285,0.9911,1.0009,0.9908,0.9998,08:31:29.000
15,08:32:47.470,1.0160,1.0165,1.0157,1.0165,0.70,2026-01-16T08:32:00Z,08:31:14.894,1.0009,1.0014,1.0009,1.0014,1375.67,08:30:00.000,08:32:27.009,0.9911,1.0009,0.9908,0.9999,08:32:25.000
16,08:33:06.672,1.0165,1.0168,1.0166,1.0168,0.23,2026-01-16T08:33:00Z,08:31:23.976,1.0009,1.0014,1.0004,1.0004,1875.39,08:30:00.000,08:32:31.044,0.9911,1.0009,0.9908,1.0000,08:32:29.000
