Event,GR_ReceivedAt,GR_O,GR_H,GR_L,GR_C,GR_V,GR_TS,MB_ReceivedAt,MB_O,MB_H,MB_L,MB_C,MB_V,MB_TS,CX_ReceivedAt,CX_O,CX_H,CX_L,CX_C,CX_TS
1,11:30:12.564,1.0111,1.0111,1.0111,1.0111,0.00,2026-01-16T11:30:00Z,11:30:07.893,0.9903,0.9913,0.9903,0.9905,162.53,11:29:00.000,11:30:12.994,0.9934,0.9941,0.9902,0.9909,11:30:11.000
2,11:30:13.669,1.0111,1.0111,1.0110,1.0110,0.15,2026-01-16T11:30:00Z,11:30:09.530,0.9905,0.9905,0.9904,0.9904,318.41,11:30:00.000,11:30:17.294,0.9934,0.9941,0.9902,0.9909,11:30:15.000
3,11:30:17.303,1.0111,1.0111,1.0109,1.0109,0.20,2026-01-16T11:30:00Z,11:30:10.715,0.9905,0.9905,0.9903,0.9903,483.56,11:30:00.000,11:30:21.671,0.9934,0.9941,0.9902,0.9908,11:30:19.000
4,11:30:21.093,1.0111,1.0111,1.0108,1.0108,0.30,2026-01-16T11:30:00Z,11:30:13.715,0.9905,0.9905,0.9903,0.9903,650.34,11:30:00.000,11:30:29.132,0.9934,0.9941,0.9902,0.9906,11:30:27.000
5,11:30:28.802,1.0111,1.0111,1.0106,1.0106,0.43,2026-01-16T11:30:00Z,11:30:21.586,0.9905,0.9905,0.9902,0.9902,986.82,11:30:00.000,11:30:30.235,0.9934,0.9941,0.9902,0.9904,11:30:29.000
6,11:30:30.346,1.0111,1.0111,1.0104,1.0104,0.57,2026-01-16T11:30:00Z,11:30:29.485,0.9905,0.9905,0.9899,0.9899,1423.91,11:30:00.000,11:30:33.104,0.9934,0.9941,0.9902,0.9903,11:30:31.000
7,11:30:33.100,1.0111,1.0111,1.0103,1.0103,0.68,2026-01-16T11:30:00Z,11:30:30.556,0.9905,0.9905,0.9898,0.9898,1470.44,11:30:00.000,11:30:34.716,0.9934,0.9941,0.9901,0.9901,11:30:33.000
8,11:30:34.856,1.0111,1.0111,1.0101,1.0101,0.82,2026-01-16T11:30:00Z,11:30:30.557,0.9905,0.9905,0.9898,0.9898,1654.49,11:30:00.000,11:30:54.174,0.9934,0.9941,0.9900,0.9900,11:30:53.000
9,11:31:10.661,1.0101,1.0100,1.0100,1.0100,0.01,2026-01-16T11:31:00Z,11:30:30.579,0.9905,0.9905,0.9897,0.9897,1880.02,11:30:00.000,11:31:10.696,0.9934,0.9941,0.9900,0.9900,11:31:09.000
10,11:31:30.625,1.0101,1.0100,1.0100,1.0100,0.06,2026-01-16T11:31:00Z,11:30:33.453,0.9905,0.9905,0.9894,0.9894,2260.28,11:30:00.000,11:31:30.802,0.9934,0.9941,0.9900,0.9901,11:31:29.000
11,11:31:33.059,1.0101,1.0100,1.0100,1.0100,0.06,2026-01-16T11:31:00Z,11:30:34.715,0.9905,0.9905,0.9893,0.9893,2589.94,11:30:00.000,11:31:33.320,0.9934,0.9941,0.9900,0.9901,11:31:31.000
12,11:32:12.693,1.0100,1.0104,1.0101,1.0104,0.26,2026-01-16T11:32:00Z,11:30:34.716,0.9905,0.9905,0.9892,0.9892,2722.68,11:30:00.000,11:32:13.127,0.9934,0.9941,0.9900,0.9904,11:32:11.000
13,11:32:42.561,1.0100,1.0104,1.0101,1.0104,0.31,2026-01-16T11:32:00Z,11:30:54.304,0.9905,0.9905,0.9888,0.9888,2950.10,11:30:00.000,11:32:17.365,0.9934,0.9941,0.9900,0.9905,11:32:15.000
14,11:33:04.360,1.0104,1.0105,1.0105,1.0105,0.08,2026-01-16T11:33:00Z,11:31:11.462,0.9888,0.9888,0.9888,0.9888,26.28,11:31:00.000,11:32:42.979,0.9934,0.9941,0.9900,0.9905,11:32:41.000
15,11:34:00.568,1.0104,1.0105,1.0105,1.0105,0.08,2026-01-16T11:33:00Z,11:31:30.802,0.9888,0.9898,0.9888,0.9898,185.46,11:31:00.000,11:33:04.437,0.9934,0.9941,0.9900,0.9906,11:33:03.000
16,11:34:22.602,1.0105,1.0105,1.0104,1.0104,0.06,2026-01-16T11:34:00Z,11:31:33.247,0.9888,0.9898,0.9888,0.9889,186.45,11:31:00.000,11:34:00.993,0.9934,0.9941,0.9900,0.9905,11:33:59.000
17,11:35:25.029,1.0104,1.0104,1.0104,1.0104,0.00,2026-01-16T11:35:00Z,11:32:13.320,0.9889,0.9899,0.9889,0.9899,109.07,11:32:00.000,11:34:06.911,0.9934,0.9941,0.9900,0.9905,11:34:05.000
18,11:35:38.859,1.0104,1.0105,1.0104,1.0105,0.03,2026-01-16T11:35:00Z,11:32:13.320,0.9889,0.9901,0.9889,0.9901,820.99,11:32:00.000,11:34:22.304,0.9934,0.9941,0.9900,0.9905,11:34:21.000
19,11:35:40.810,1.0104,1.0108,1.0104,1.0108,0.31,2026-01-16T11:35:00Z,11:32:13.320,0.9889,0.9902,0.9889,0.9902,844.16,11:32:00.000,11:34:26.832,0.9934,0.9941,0.9900,0.9905,11:34:25.000
20,11:35:52.740,1.0104,1.0108,1.0096,1.0096,1.28,2026-01-16T11:35:00Z,11:32:17.244,0.9889,0.9903,0.9889,0.9903,1003.36,11:32:00.000,11:35:24.713,0.9934,0.9941,0.9900,0.9905,11:35:23.000
21,11:36:04.550,1.0096,1.0097,1.0097,1.0097,0.05,2026-01-16T11:36:00Z,11:32:43.232,0.9889,0.9903,0.9889,0.9903,1018.35,11:32:00.000,11:35:37.598,0.9934,0.9941,0.9900,0.9905,11:35:35.000
22,11:36:18.546,1.0096,1.0097,1.0092,1.0096,0.62,2026-01-16T11:36:00Z,11:33:04.698,0.9903,0.9904,0.9903,0.9904,259.98,11:33:00.000,11:35:38.948,0.9934,0.9941,0.9900,0.9906,11:35:37.000
23,11:36:22.449,1.0096,1.0097,1.0092,1.0096,0.62,2026-01-16T11:36:00Z,11:34:01.008,0.9903,0.9904,0.9903,0.9904,259.98,11:33:00.000,11:35:40.645,0.9934,0.9941,0.9900,0.9909,11:35:39.000
24,11:37:12.039,1.0096,1.0096,1.0096,1.0096,0.04,2026-01-16T11:37:00Z,11:34:01.205,0.9903,0.9904,0.9898,0.9898,272.85,11:33:00.000,11:35:52.742,0.9934,0.9941,0.9896,0.9896,11:35:51.000
25,11:37:16.907,1.0096,1.0096,1.0094,1.0094,0.18,2026-01-16T11:37:00Z,11:34:06.880,0.9898,0.9898,0.9898,0.9898,199.40,11:34:00.000,11:36:04.959,0.9934,0.9941,0.9896,0.9897,11:36:03.000
26,11:37:26.600,1.0096,1.0096,1.0091,1.0091,0.36,2026-01-16T11:37:00Z,11:34:22.964,0.9898,0.9900,0.9898,0.9900,209.61,11:34:00.000,11:36:16.628,0.9934,0.9941,0.9893,0.9895,11:36:15.000
27,11:37:28.957,1.0096,1.0096,1.0091,1.0091,0.38,2026-01-16T11:37:00Z,11:34:31.814,0.9898,0.9900,0.9898,0.9900,219.87,11:34:00.000,11:36:18.815,0.9934,0.9941,0.9893,0.9896,11:36:17.000
28,11:37:33.096,1.0096,1.0096,1.0090,1.0090,0.45,2026-01-16T11:37:00Z,11:35:27.881,0.9900,0.9916,0.9900,0.9916,0.12,11:35:00.000,11:36:22.674,0.9934,0.9941,0.9893,0.9896,11:36:21.000
29,11:37:46.343,1.0096,1.0096,1.0089,1.0089,0.54,2026-01-16T11:37:00Z,11:35:37.953,0.9900,0.9916,0.9900,0.9916,91.42,11:35:00.000,11:36:37.173,0.9934,0.9941,0.9893,0.9896,11:36:35.000
30,11:38:24.467,1.0089,1.0085,1.0085,1.0085,0.07,2026-01-16T11:38:00Z,11:35:39.456,0.9900,0.9917,0.9900,0.9917,339.36,11:35:00.000,11:37:08.485,0.9934,0.9941,0.9893,0.9896,11:37:07.000
31,11:38:34.602,1.0089,1.0085,1.0085,1.0085,0.07,2026-01-16T11:38:00Z,11:35:40.816,0.9900,0.9919,0.9900,0.9919,645.75,11:35:00.000,11:37:11.056,0.9934,0.9941,0.9893,0.9894,11:37:09.000
32,11:38:47.141,1.0089,1.0086,1.0085,1.0086,0.14,2026-01-16T11:38:00Z,11:35:40.856,0.9900,0.9920,0.9900,0.9920,1031.07,11:35:00.000,11:37:14.730,0.9934,0.9941,0.9893,0.9893,11:37:13.000
33,11:39:14.645,1.0086,1.0089,1.0087,1.0089,0.16,2026-01-16T11:39:00Z,11:35:53.282,0.9900,0.9920,0.9900,0.9911,1159.94,11:35:00.000,11:37:26.543,0.9934,0.9941,0.9892,0.9892,11:37:25.000
34,11:39:40.573,1.0086,1.0092,1.0087,1.0092,0.33,2026-01-16T11:39:00Z,11:35:53.283,0.9900,0.9920,0.9900,0.9910,1578.26,11:35:00.000,11:37:28.917,0.9934,0.9941,0.9892,0.9892,11:37:27.000
35,,,,,,,,11:35:53.284,0.9900,0.9920,0.9900,0.9908,1885.27,11:35:00.000,11:37:32.888,0.9934,0.9941,0.9891,0.9891,11:37:31.000
36,,,,,,,,11:35:53.284,0.9900,0.9920,0.9900,0.9906,2885.13,11:35:00.000,11:37:47.134,0.9934,0.9941,0.9890,0.9890,11:37:45.000
37,,,,,,,,11:35:53.289,0.9900,0.9920,0.9900,0.9903,3520.64,11:35:00.000,11:38:01.150,0.9934,0.9941,0.9887,0.9887,11:37:59.000
38,,,,,,,,11:35:53.291,0.9900,0.9920,0.9900,0.9900,4218.56,11:35:00.000,11:38:03.026,0.9934,0.9941,0.9886,0.9886,11:38:01.000
39,,,,,,,,11:36:04.941,0.9900,0.9909,0.9900,0.9909,159.41,11:36:00.000,11:38:24.351,0.9934,0.9941,0.9886,0.9886,11:38:23.000
40,,,,,,,,11:36:16.895,0.9900,0.9909,0.9897,0.9897,1227.71,11:36:00.000,11:38:35.025,0.9934,0.9941,0.9886,0.9886,11:38:33.000
41,,,,,,,,11:36:16.895,0.9900,0.9909,0.9897,0.9906,1892.28,11:36:00.000,11:38:47.158,0.9934,0.9941,0.9886,0.9887,11:38:45.000
42,,,,,,,,11:36:16.895,0.9900,0.9909,0.9897,0.9908,1897.48,11:36:00.000,11:38:51.309,0.9934,0.9941,0.9886,0.9888,11:38:49.000
43,,,,,,,,11:36:19.667,0.9900,0.9909,0.9897,0.9907,1898.81,11:36:00.000,11:39:08.486,0.9934,0.9941,0.9886,0.9888,11:39:07.000
44,,,,,,,,11:36:19.671,0.9900,0.9909,0.9897,0.9908,2064.04,11:36:00.000,11:39:14.646,0.9934,0.9941,0.9886,0.9890,11:39:13.000
45,,,,,,,,11:36:36.963,0.9900,0.9909,0.9897,0.9908,2184.22,11:36:00.000,11:39:26.688,0.9934,0.9941,0.9886,0.9891,11:39:25.000
46,,,,,,,,11:37:09.686,0.9908,0.9908,0.9898,0.9898,143.60,11:37:00.000,11:39:40.385,0.9934,0.9941,0.9886,0.9893,11:39:39.000
47,,,,,,,,11:37:12.256,0.9908,0.9908,0.9897,0.9897,434.32,11:37:00.000,11:39:42.898,0.9934,0.9941,0.9886,0.9893,11:39:41.000
48,,,,,,,,11:37:12.280,0.9908,0.9908,0.9897,0.9897,580.52,11:37:00.000,,,,,,
49,,,,,,,,11:37:16.195,0.9908,0.9908,0.9895,0.9895,738.01,11:37:00.000,,,,,,
50,,,,,,,,11:37:16.213,0.9908,0.9908,0.9895,0.9895,868.59,11:37:00.000,,,,,,
51,,,,,,,,11:37:28.043,0.9908,0.9908,0.9894,0.9894,1180.50,11:37:00.000,,,,,,
52,,,,,,,,11:37:29.463,0.9908,0.9908,0.9894,0.9894,1261.09,11:37:00.000,,,,,,
53,,,,,,,,11:37:33.213,0.9908,0.9908,0.9893,0.9893,1496.19,11:37:00.000,,,,,,
54,,,,,,,,11:37:47.688,0.9908,0.9908,0.9892,0.9892,1792.25,11:37:00.000,,,,,,
55,,,,,,,,11:38:01.959,0.9908,0.9908,0.9891,0.9891,1944.97,11:37:00.000,,,,,,
56,,,,,,,,11:38:01.978,0.9908,0.9908,0.9890,0.9890,2315.35,11:37:00.000,,,,,,
57,,,,,,,,11:38:01.978,0.9908,0.9908,0.9889,0.9889,2434.33,11:37:00.000,,,,,,
58,,,,,,,,11:38:02.864,0.9889,0.9889,0.9888,0.9888,229.81,11:38:00.000,,,,,,
59,,,,,,,,11:38:24.212,0.9889,0.9898,0.9888,0.9898,238.46,11:38:00.000,,,,,,
60,,,,,,,,11:38:35.666,0.9889,0.9898,0.9888,0.9898,244.24,11:38:00.000,,,,,,
61,,,,,,,,11:38:46.992,0.9889,0.9898,0.9888,0.9897,446.93,11:38:00.000,,,,,,
62,,,,,,,,11:38:50.526,0.9889,0.9898,0.9888,0.9898,679.52,11:38:00.000,,,,,,
63,,,,,,,,11:39:09.905,0.9898,0.9899,0.9898,0.9899,7.75,11:39:00.000,,,,,,
64,,,,,,,,11:39:15.800,0.9898,0.9899,0.9898,0.9899,252.24,11:39:00.000,,,,,,
65,,,,,,,,11:39:15.800,0.9898,0.9900,0.9898,0.9900,527.54,11:39:00.000,,,,,,
66,,,,,,,,11:39:27.763,0.9898,0.9900,0.9898,0.9900,880.75,11:39:00.000,,,,,,
67,,,,,,,,11:39:40.702,0.9898,0.9900,0.9898,0.9900,1085.09,11:39:00.000,,,,,,
68,,,,,,,,11:39:43.804,0.9898,0.9900,0.9898,0.9900,1225.10,11:39:00.000,,,,,,
