Event,GR_ReceivedAt,GR_O,GR_H,GR_L,GR_C,GR_V,GR_TS,MB_ReceivedAt,MB_O,MB_H,MB_L,MB_C,MB_V,MB_TS,CX_ReceivedAt,CX_O,CX_H,CX_L,CX_C,CX_TS
1,07:43:04.130,1.0093,1.0093,1.0092,1.0092,0.03,2026-01-16T07:42:00Z,07:43:03.067,0.9897,0.9906,0.9896,0.9896,2288.35,07:40:00.000,07:43:54.926,0.9904,0.9904,0.9904,0.9904,07:43:53.000
2,07:43:54.570,1.0092,1.0092,1.0092,1.0092,0.00,2026-01-16T07:43:00Z,07:43:59.271,0.9897,0.9906,0.9895,0.9895,2176.84,07:40:00.000,07:44:39.363,0.9904,0.9905,0.9904,0.9905,07:44:37.000
3,07:44:40.928,1.0092,1.0094,1.0094,1.0094,0.07,2026-01-16T07:44:00Z,07:44:39.829,0.9897,0.9906,0.9895,0.9905,2280.03,07:40:00.000,07:44:40.613,0.9904,0.9905,0.9904,0.9905,07:44:39.000
4,07:46:06.362,1.0094,1.0094,1.0094,1.0094,0.01,2026-01-16T07:46:00Z,07:44:39.829,0.9897,0.9906,0.9895,0.9906,2387.93,07:40:00.000,07:45:36.825,0.9905,0.9906,0.9905,0.9906,07:45:35.000
5,07:46:16.779,1.0094,1.0096,1.0094,1.0096,0.17,2026-01-16T07:46:00Z,07:44:40.867,0.9897,0.9906,0.9895,0.9906,2617.34,07:40:00.000,07:46:02.772,0.9906,0.9906,0.9906,0.9906,07:46:01.000
6,07:46:34.946,1.0094,1.0096,1.0094,1.0095,0.22,2026-01-16T07:46:00Z,07:45:39.707,0.9906,0.9906,0.9898,0.9898,3.84,07:45:00.000,07:46:06.878,0.9906,0.9906,0.9906,0.9906,07:46:05.000
7,07:46:41.210,1.0094,1.0097,1.0094,1.0097,0.31,2026-01-16T07:46:00Z,07:46:02.755,0.9906,0.9906,0.9898,0.9899,30.77,07:45:00.000,07:46:17.048,0.9906,0.9908,0.9906,0.9908,07:46:15.000
8,07:46:44.530,1.0094,1.0099,1.0094,1.0099,0.46,2026-01-16T07:46:00Z,07:46:16.608,0.9906,0.9909,0.9898,0.9909,253.89,07:45:00.000,07:46:35.344,0.9906,0.9908,0.9906,0.9907,07:46:33.000
9,07:46:46.563,1.0094,1.0101,1.0094,1.0101,0.68,2026-01-16T07:46:00Z,07:46:16.620,0.9906,0.9910,0.9898,0.9910,460.70,07:45:00.000,07:46:41.370,0.9906,0.9908,0.9906,0.9908,07:46:39.000
10,07:46:56.581,1.0094,1.0107,1.0094,1.0107,1.10,2026-01-16T07:46:00Z,07:46:16.630,0.9906,0.9911,0.9898,0.9911,565.31,07:45:00.000,07:46:45.282,0.9906,0.9910,0.9906,0.9910,07:46:43.000
11,07:47:00.508,1.0094,1.0108,1.0094,1.0108,1.15,2026-01-16T07:46:00Z,07:46:35.182,0.9906,0.9911,0.9898,0.9901,746.27,07:45:00.000,07:46:46.578,0.9906,0.9913,0.9906,0.9913,07:46:45.000
12,07:47:08.511,1.0108,1.0108,1.0108,1.0108,0.07,2026-01-16T07:47:00Z,07:46:40.586,0.9906,0.9911,0.9898,0.9911,1025.50,07:45:00.000,07:46:56.550,0.9906,0.9918,0.9906,0.9918,07:46:55.000
13,07:47:35.279,1.0108,1.0113,1.0108,1.0113,0.55,2026-01-16T07:47:00Z,07:46:44.932,0.9906,0.9912,0.9898,0.9912,1138.94,07:45:00.000,07:46:58.943,0.9906,0.9919,0.9906,0.9919,07:46:57.000
14,07:47:42.941,1.0108,1.0113,1.0108,1.0110,0.73,2026-01-16T07:47:00Z,07:46:44.933,0.9906,0.9913,0.9898,0.9913,1536.17,07:45:00.000,07:47:00.532,0.9906,0.9919,0.9906,0.9919,07:46:59.000
15,07:47:44.334,1.0108,1.0113,1.0108,1.0110,0.76,2026-01-16T07:47:00Z,07:46:47.483,0.9906,0.9914,0.9898,0.9914,1702.24,07:45:00.000,07:47:07.496,0.9919,0.9919,0.9919,0.9919,07:47:05.000
16,07:47:49.155,1.0108,1.0113,1.0108,1.0108,0.91,2026-01-16T07:47:00Z,07:46:47.495,0.9906,0.9915,0.9898,0.9915,2239.04,07:45:00.000,07:47:08.513,0.9919,0.9919,0.9919,0.9919,07:47:07.000
17,07:47:58.830,1.0108,1.0113,1.0108,1.0108,0.91,2026-01-16T07:47:00Z,07:46:57.333,0.9906,0.9919,0.9898,0.9919,3655.80,07:45:00.000,07:47:28.665,0.9919,0.9925,0.9919,0.9925,07:47:27.000
18,07:48:02.955,1.0108,1.0108,1.0107,1.0107,0.05,2026-01-16T07:48:00Z,07:46:58.570,0.9906,0.9922,0.9898,0.9922,3799.68,07:45:00.000,07:47:35.263,0.9919,0.9925,0.9919,0.9923,07:47:33.000
19,07:48:04.328,1.0108,1.0108,1.0100,1.0100,0.66,2026-01-16T07:48:00Z,07:47:00.903,0.9906,0.9922,0.9898,0.9912,3801.43,07:45:00.000,07:47:43.116,0.9919,0.9925,0.9919,0.9922,07:47:41.000
20,07:48:14.988,1.0108,1.0108,1.0098,1.0098,0.77,2026-01-16T07:48:00Z,07:47:06.736,0.9906,0.9923,0.9898,0.9923,3928.56,07:45:00.000,07:47:44.587,0.9919,0.9925,0.9919,0.9922,07:47:43.000
21,07:48:32.540,1.0108,1.0108,1.0096,1.0096,0.95,2026-01-16T07:48:00Z,07:47:10.104,0.9906,0.9923,0.9898,0.9913,4036.76,07:45:00.000,07:47:48.744,0.9919,0.9925,0.9919,0.9920,07:47:47.000
22,07:48:50.436,1.0108,1.0108,1.0092,1.0093,1.25,2026-01-16T07:48:00Z,07:47:29.177,0.9906,0.9925,0.9898,0.9925,5487.80,07:45:00.000,07:47:59.185,0.9919,0.9925,0.9919,0.9919,07:47:57.000
23,07:49:42.222,1.0093,1.0094,1.0094,1.0094,0.02,2026-01-16T07:49:00Z,07:47:29.177,0.9906,0.9925,0.9898,0.9918,5590.09,07:45:00.000,07:48:03.045,0.9919,0.9919,0.9919,0.9919,07:48:01.000
24,07:50:14.924,1.0094,1.0095,1.0094,1.0095,0.07,2026-01-16T07:50:00Z,07:47:29.182,0.9906,0.9928,0.9898,0.9928,5603.25,07:45:00.000,07:48:04.699,0.9919,0.9919,0.9911,0.9911,07:48:03.000
25,07:50:20.406,1.0094,1.0095,1.0094,1.0095,0.07,2026-01-16T07:50:00Z,07:47:29.193,0.9906,0.9928,0.9898,0.9918,5607.38,07:45:00.000,07:48:07.116,0.9919,0.9919,0.9909,0.9909,07:48:05.000
26,07:50:32.878,1.0094,1.0095,1.0094,1.0095,0.09,2026-01-16T07:50:00Z,07:47:35.503,0.9906,0.9928,0.9898,0.9917,6107.30,07:45:00.000,07:48:15.901,0.9919,0.9919,0.9907,0.9907,07:48:13.000
27,07:50:45.281,1.0094,1.0096,1.0094,1.0094,0.30,2026-01-16T07:50:00Z,07:47:43.987,0.9906,0.9928,0.9898,0.9916,6108.81,07:45:00.000,07:48:32.537,0.9919,0.9919,0.9907,0.9907,07:48:31.000
28,07:51:36.817,1.0094,1.0093,1.0089,1.0089,0.35,2026-01-16T07:51:00Z,07:47:43.987,0.9906,0.9928,0.9898,0.9915,6225.45,07:45:00.000,07:48:35.062,0.9919,0.9919,0.9904,0.9904,07:48:33.000
29,07:52:15.042,1.0089,1.0089,1.0089,1.0089,0.03,2026-01-16T07:52:00Z,07:47:45.384,0.9906,0.9928,0.9898,0.9915,6308.75,07:45:00.000,07:48:51.114,0.9919,0.9919,0.9904,0.9904,07:48:49.000
30,,,,,,,,07:47:49.741,0.9906,0.9928,0.9898,0.9915,6310.00,07:45:00.000,07:48:56.980,0.9919,0.9919,0.9904,0.9905,07:48:55.000
31,,,,,,,,07:47:49.743,0.9906,0.9928,0.9898,0.9914,6809.93,07:45:00.000,07:49:03.160,0.9905,0.9905,0.9905,0.9905,07:49:01.000
32,,,,,,,,07:47:49.761,0.9906,0.9928,0.9898,0.9913,6813.84,07:45:00.000,07:49:42.400,0.9905,0.9906,0.9905,0.9906,07:49:41.000
33,,,,,,,,07:47:58.828,0.9906,0.9928,0.9898,0.9913,6815.87,07:45:00.000,07:50:14.801,0.9906,0.9907,0.9906,0.9907,07:50:13.000
34,,,,,,,,07:48:04.968,0.9906,0.9928,0.9898,0.9913,6818.94,07:45:00.000,07:50:20.505,0.9906,0.9907,0.9906,0.9907,07:50:19.000
35,,,,,,,,07:48:05.095,0.9906,0.9928,0.9898,0.9912,6993.60,07:45:00.000,07:50:32.697,0.9906,0.9907,0.9906,0.9906,07:50:31.000
36,,,,,,,,07:48:06.263,0.9906,0.9928,0.9898,0.9908,8985.70,07:45:00.000,07:50:39.361,0.9906,0.9907,0.9906,0.9907,07:50:37.000
37,,,,,,,,07:48:08.061,0.9906,0.9928,0.9898,0.9904,9157.55,07:45:00.000,07:50:45.611,0.9906,0.9907,0.9905,0.9905,07:50:43.000
38,,,,,,,,07:48:08.092,0.9906,0.9928,0.9898,0.9903,9356.76,07:45:00.000,07:51:25.404,0.9905,0.9905,0.9905,0.9905,07:51:23.000
39,,,,,,,,07:48:15.619,0.9906,0.9928,0.9898,0.9902,9927.11,07:45:00.000,07:51:37.121,0.9905,0.9905,0.9901,0.9901,07:51:35.000
40,,,,,,,,07:48:34.016,0.9906,0.9928,0.9898,0.9901,9953.81,07:45:00.000,07:52:15.042,0.9901,0.9901,0.9900,0.9900,07:52:13.000
41,,,,,,,,07:48:34.731,0.9906,0.9928,0.9898,0.9899,10772.14,07:45:00.000,07:52:16.446,0.9901,0.9901,0.9900,0.9900,07:52:15.000
42,,,,,,,,07:48:51.552,0.9906,0.9928,0.9898,0.9908,10936.98,07:45:00.000,,,,,,
43,,,,,,,,07:48:56.833,0.9906,0.9928,0.9898,0.9908,10939.61,07:45:00.000,,,,,,
44,,,,,,,,07:48:56.872,0.9906,0.9928,0.9898,0.9908,11069.41,07:45:00.000,,,,,,
45,,,,,,,,07:49:03.214,0.9906,0.9928,0.9898,0.9909,11095.52,07:45:00.000,,,,,,
46,,,,,,,,07:49:42.408,0.9906,0.9928,0.9898,0.9909,11145.51,07:45:00.000,,,,,,
47,,,,,,,,07:50:14.989,0.9909,0.9913,0.9909,0.9913,108.45,07:50:00.000,,,,,,
48,,,,,,,,07:50:15.049,0.9909,0.9914,0.9909,0.9914,226.85,07:50:00.000,,,,,,
49,,,,,,,,07:50:21.708,0.9909,0.9914,0.9909,0.9914,242.23,07:50:00.000,,,,,,
50,,,,,,,,07:50:33.129,0.9909,0.9914,0.9909,0.9914,289.46,07:50:00.000,,,,,,
51,,,,,,,,07:50:40.120,0.9909,0.9914,0.9909,0.9914,428.59,07:50:00.000,,,,,,
52,,,,,,,,07:50:45.643,0.9909,0.9914,0.9903,0.9903,921.45,07:50:00.000,,,,,,
53,,,,,,,,07:50:45.668,0.9909,0.9914,0.9903,0.9912,926.28,07:50:00.000,,,,,,
54,,,,,,,,07:50:45.676,0.9909,0.9914,0.9903,0.9912,971.96,07:50:00.000,,,,,,
55,,,,,,,,07:50:45.695,0.9909,0.9914,0.9902,0.9902,985.77,07:50:00.000,,,,,,
56,,,,,,,,07:50:45.695,0.9909,0.9914,0.9902,0.9912,990.57,07:50:00.000,,,,,,
57,,,,,,,,07:50:45.706,0.9909,0.9914,0.9902,0.9912,998.57,07:50:00.000,,,,,,
58,,,,,,,,07:51:26.272,0.9909,0.9914,0.9902,0.9902,1148.38,07:50:00.000,,,,,,
59,,,,,,,,07:51:42.496,0.9909,0.9914,0.9899,0.9899,2148.25,07:50:00.000,,,,,,
60,,,,,,,,07:52:15.003,0.9909,0.9914,0.9896,0.9896,2261.75,07:50:00.000,,,,,,
61,,,,,,,,07:52:17.383,0.9909,0.9914,0.9896,0.9896,2369.77,07:50:00.000,,,,,,
