Event,GR_ReceivedAt,GR_O,GR_H,GR_L,GR_C,GR_V,GR_TS,MB_ReceivedAt,MB_O,MB_H,MB_L,MB_C,MB_V,MB_TS,CX_ReceivedAt,CX_O,CX_H,CX_L,CX_C,CX_TS
1,16:02:32.799,0.9909,0.9909,0.9905,0.9905,0.20,2026-01-16T16:02:00Z,16:02:32.621,0.9599,0.9600,0.9597,0.9597,645.62,16:02:00.000,16:02:39.787,0.9583,0.9595,0.9580,0.9590,16:02:37.000
2,16:02:39.964,0.9909,0.9909,0.9905,0.9905,0.20,2026-01-16T16:02:00Z,16:02:40.073,0.9599,0.9600,0.9595,0.9595,645.87,16:02:00.000,16:02:50.914,0.9583,0.9595,0.9580,0.9591,16:02:49.000
3,16:02:52.953,0.9909,0.9909,0.9905,0.9905,0.20,2026-01-16T16:02:00Z,16:02:50.841,0.9599,0.9606,0.9595,0.9606,845.87,16:02:00.000,16:02:53.288,0.9583,0.9595,0.9580,0.9593,16:02:51.000
4,16:02:53.287,0.9909,0.9909,0.9905,0.9906,0.26,2026-01-16T16:02:00Z,16:02:52.953,0.9599,0.9609,0.9595,0.9609,1285.36,16:02:00.000,16:02:56.520,0.9583,0.9595,0.9580,0.9593,16:02:55.000
5,16:02:57.130,0.9909,0.9909,0.9905,0.9909,0.40,2026-01-16T16:02:00Z,16:02:57.116,0.9599,0.9609,0.9595,0.9602,1304.77,16:02:00.000,16:03:00.625,0.9583,0.9595,0.9580,0.9593,16:02:59.000
6,16:03:00.480,0.9909,0.9909,0.9905,0.9909,0.40,2026-01-16T16:02:00Z,16:03:00.396,0.9599,0.9609,0.9595,0.9602,1306.20,16:02:00.000,16:03:12.024,0.9583,0.9596,0.9580,0.9596,16:03:09.000
7,16:03:23.505,0.9909,0.9912,0.9912,0.9912,0.15,2026-01-16T16:03:00Z,16:03:11.810,0.9602,0.9608,0.9602,0.9608,500.29,16:03:00.000,16:03:23.876,0.9583,0.9597,0.9580,0.9597,16:03:21.000
8,16:03:32.882,0.9909,0.9913,0.9912,0.9913,0.21,2026-01-16T16:03:00Z,16:03:22.819,0.9602,0.9609,0.9602,0.9609,700.22,16:03:00.000,16:03:33.041,0.9583,0.9597,0.9580,0.9597,16:03:31.000
9,16:03:47.048,0.9909,0.9913,0.9912,0.9913,0.22,2026-01-16T16:03:00Z,16:03:22.819,0.9602,0.9609,0.9600,0.9600,701.17,16:03:00.000,16:03:47.040,0.9583,0.9597,0.9580,0.9595,16:03:45.000
10,16:03:53.215,0.9909,0.9913,0.9909,0.9909,0.40,2026-01-16T16:03:00Z,16:03:32.548,0.9602,0.9609,0.9599,0.9599,702.57,16:03:00.000,16:03:52.834,0.9583,0.9597,0.9580,0.9594,16:03:51.000
11,16:04:36.747,0.9909,0.9907,0.9907,0.9907,0.04,2026-01-16T16:04:00Z,16:03:46.570,0.9602,0.9609,0.9598,0.9598,1044.50,16:03:00.000,16:03:54.598,0.9583,0.9597,0.9580,0.9592,16:03:53.000
12,16:04:54.054,0.9909,0.9907,0.9905,0.9905,0.14,2026-01-16T16:04:00Z,16:03:53.025,0.9602,0.9609,0.9594,0.9594,1309.55,16:03:00.000,16:04:24.938,0.9583,0.9597,0.9580,0.9592,16:04:23.000
13,16:04:59.975,0.9909,0.9907,0.9904,0.9904,0.21,2026-01-16T16:04:00Z,16:03:55.288,0.9602,0.9609,0.9591,0.9591,1591.56,16:03:00.000,16:04:36.791,0.9583,0.9597,0.9580,0.9590,16:04:35.000
14,16:05:05.212,0.9904,0.9902,0.9902,0.9902,0.08,2026-01-16T16:05:00Z,16:04:24.545,0.9591,0.9591,0.9590,0.9590,116.31,16:04:00.000,16:04:52.612,0.9583,0.9597,0.9580,0.9588,16:04:51.000
15,16:05:29.358,0.9904,0.9902,0.9900,0.9900,0.17,2026-01-16T16:05:00Z,16:04:36.612,0.9591,0.9591,0.9587,0.9587,472.38,16:04:00.000,16:04:59.451,0.9583,0.9597,0.9580,0.9588,16:04:57.000
16,16:05:38.686,0.9904,0.9902,0.9898,0.9900,0.35,2026-01-16T16:05:00Z,16:04:52.700,0.9591,0.9591,0.9587,0.9590,700.71,16:04:00.000,16:05:03.344,0.9583,0.9597,0.9580,0.9587,16:05:01.000
17,16:05:45.088,0.9904,0.9903,0.9898,0.9903,0.51,2026-01-16T16:05:00Z,16:04:59.617,0.9591,0.9591,0.9587,0.9589,703.72,16:04:00.000,16:05:05.826,0.9583,0.9597,0.9580,0.9586,16:05:03.000
18,16:06:01.309,0.9904,0.9907,0.9898,0.9907,0.72,2026-01-16T16:05:00Z,16:04:59.618,0.9591,0.9591,0.9587,0.9589,719.53,16:04:00.000,16:05:29.151,0.9583,0.9597,0.9580,0.9584,16:05:27.000
19,16:06:05.446,0.9907,0.9914,0.9913,0.9914,0.35,2026-01-16T16:06:00Z,16:05:02.643,0.9589,0.9590,0.9589,0.9590,250.33,16:05:00.000,16:05:38.668,0.9583,0.9597,0.9580,0.9585,16:05:37.000
20,16:06:13.447,0.9907,0.9915,0.9913,0.9915,0.39,2026-01-16T16:06:00Z,16:05:04.826,0.9589,0.9590,0.9588,0.9588,566.34,16:05:00.000,16:05:45.765,0.9583,0.9597,0.9580,0.9588,16:05:43.000
21,16:06:14.810,0.9907,0.9918,0.9913,0.9918,0.57,2026-01-16T16:06:00Z,16:05:28.811,0.9589,0.9590,0.9586,0.9586,897.91,16:05:00.000,16:05:49.332,0.9583,0.9597,0.9580,0.9592,16:05:47.000
22,16:06:20.084,0.9907,0.9922,0.9913,0.9922,0.74,2026-01-16T16:06:00Z,16:05:38.577,0.9589,0.9596,0.9586,0.9596,1147.70,16:05:00.000,16:06:01.584,0.9583,0.9597,0.9580,0.9593,16:05:59.000
