Event,GR_ReceivedAt,GR_O,GR_H,GR_L,GR_C,GR_V,GR_TS,MB_ReceivedAt,MB_O,MB_H,MB_L,MB_C,MB_V,MB_TS,CX_ReceivedAt,CX_O,CX_H,CX_L,CX_C,CX_TS
23,16:06:24.847,0.9907,0.9926,0.9913,0.9926,0.99,2026-01-16T16:06:00Z,16:05:45.211,0.9589,0.9601,0.9586,0.9601,1337.53,16:05:00.000,16:06:05.178,0.9583,0.9599,0.9580,0.9599,16:06:03.000
24,16:06:36.971,0.9907,0.9928,0.9913,0.9928,1.17,2026-01-16T16:06:00Z,16:05:45.234,0.9589,0.9603,0.9586,0.9603,1650.76,16:05:00.000,16:06:10.610,0.9583,0.9600,0.9580,0.9600,16:06:09.000
25,16:06:39.262,0.9907,0.9934,0.9913,0.9933,1.47,2026-01-16T16:06:00Z,16:05:50.041,0.9589,0.9605,0.9586,0.9605,1844.90,16:05:00.000,16:06:13.206,0.9583,0.9603,0.9580,0.9603,16:06:11.000
26,16:06:49.226,0.9907,0.9934,0.9913,0.9933,1.54,2026-01-16T16:06:00Z,16:05:50.081,0.9589,0.9606,0.9586,0.9606,1965.45,16:05:00.000,16:06:15.128,0.9583,0.9606,0.9580,0.9606,16:06:13.000
27,16:07:00.032,0.9907,0.9934,0.9913,0.9934,1.56,2026-01-16T16:06:00Z,16:05:50.081,0.9589,0.9607,0.9586,0.9607,2152.05,16:05:00.000,16:06:19.444,0.9583,0.9609,0.9580,0.9609,16:06:17.000
28,16:07:01.512,0.9907,0.9936,0.9913,0.9936,1.68,2026-01-16T16:06:00Z,16:05:50.085,0.9589,0.9608,0.9586,0.9608,2353.76,16:05:00.000,16:06:24.934,0.9583,0.9610,0.9580,0.9610,16:06:23.000
29,16:07:17.916,0.9936,0.9937,0.9937,0.9937,0.02,2026-01-16T16:07:00Z,16:06:01.793,0.9589,0.9609,0.9586,0.9609,2547.90,16:05:00.000,16:06:27.323,0.9583,0.9610,0.9580,0.9610,16:06:25.000
30,16:07:23.237,0.9936,0.9942,0.9937,0.9942,0.31,2026-01-16T16:07:00Z,16:06:06.197,0.9609,0.9614,0.9609,0.9614,967.98,16:06:00.000,16:06:37.110,0.9583,0.9613,0.9580,0.9613,16:06:35.000
31,16:07:28.791,0.9936,0.9942,0.9937,0.9942,0.33,2026-01-16T16:07:00Z,16:06:06.216,0.9609,0.9617,0.9609,0.9617,1156.17,16:06:00.000,16:06:39.257,0.9583,0.9618,0.9580,0.9618,16:06:37.000
32,16:07:30.970,0.9936,0.9944,0.9937,0.9944,0.45,2026-01-16T16:07:00Z,16:06:11.342,0.9609,0.9617,0.9608,0.9608,1167.79,16:06:00.000,16:06:44.803,0.9583,0.9618,0.9580,0.9618,16:06:43.000
33,,,,,,,,16:06:11.367,0.9609,0.9618,0.9608,0.9618,1273.61,16:06:00.000,16:06:46.777,0.9583,0.9618,0.9580,0.9618,16:06:45.000
34,,,,,,,,16:06:13.547,0.9609,0.9619,0.9608,0.9619,1805.93,16:06:00.000,16:06:49.194,0.9583,0.9618,0.9580,0.9618,16:06:47.000
35,,,,,,,,16:06:13.547,0.9609,0.9621,0.9608,0.9621,1855.76,16:06:00.000,16:06:51.674,0.9583,0.9618,0.9580,0.9618,16:06:49.000
36,,,,,,,,16:06:15.860,0.9609,0.9622,0.9608,0.9622,2066.60,16:06:00.000,16:06:59.310,0.9583,0.9619,0.9580,0.9619,16:06:57.000
37,,,,,,,,16:06:15.888,0.9609,0.9624,0.9608,0.9624,2425.99,16:06:00.000,16:07:01.156,0.9583,0.9621,0.9580,0.9621,16:06:59.000
38,,,,,,,,16:06:19.102,0.9609,0.9626,0.9608,0.9626,2938.85,16:06:00.000,16:07:15.679,0.9583,0.9622,0.9580,0.9622,16:07:13.000
39,,,,,,,,16:06:24.815,0.9609,0.9630,0.9608,0.9630,3218.45,16:06:00.000,16:07:19.140,0.9583,0.9622,0.9580,0.9622,16:07:17.000
40,,,,,,,,16:06:26.737,0.9609,0.9630,0.9608,0.9621,3344.39,16:06:00.000,16:07:21.307,0.9583,0.9622,0.9580,0.9622,16:07:19.000
41,,,,,,,,16:06:36.935,0.9609,0.9633,0.9608,0.9633,3489.96,16:06:00.000,16:07:23.377,0.9583,0.9626,0.9580,0.9626,16:07:21.000
42,,,,,,,,16:06:36.935,0.9609,0.9634,0.9608,0.9634,3829.85,16:06:00.000,16:07:29.144,0.9583,0.9626,0.9580,0.9626,16:07:27.000
43,,,,,,,,16:06:39.072,0.9609,0.9638,0.9608,0.9638,4773.85,16:06:00.000,16:07:31.197,0.9583,0.9628,0.9580,0.9628,16:07:29.000
44,,,,,,,,16:06:39.096,0.9609,0.9638,0.9608,0.9631,4805.61,16:06:00.000,,,,,,
45,,,,,,,,16:06:45.297,0.9609,0.9638,0.9608,0.9630,4812.71,16:06:00.000,,,,,,
46,,,,,,,,16:06:47.453,0.9609,0.9638,0.9608,0.9630,4819.08,16:06:00.000,,,,,,
47,,,,,,,,16:06:49.684,0.9609,0.9638,0.9608,0.9630,4926.09,16:06:00.000,,,,,,
48,,,,,,,,16:06:49.772,0.9609,0.9640,0.9608,0.9640,5042.12,16:06:00.000,,,,,,
49,,,,,,,,16:06:49.773,0.9609,0.9640,0.9608,0.9640,5045.38,16:06:00.000,,,,,,
50,,,,,,,,16:06:51.145,0.9609,0.9640,0.9608,0.9640,5094.59,16:06:00.000,,,,,,
51,,,,,,,,16:06:58.323,0.9609,0.9642,0.9608,0.9642,5324.29,16:06:00.000,,,,,,
52,,,,,,,,16:07:00.639,0.9609,0.9643,0.9608,0.9643,5478.76,16:06:00.000,,,,,,
53,,,,,,,,16:07:00.779,0.9609,0.9644,0.9608,0.9644,5696.45,16:06:00.000,,,,,,
54,,,,,,,,16:07:14.882,0.9644,0.9645,0.9644,0.9645,50.21,16:07:00.000,,,,,,
55,,,,,,,,16:07:21.517,0.9644,0.9650,0.9644,0.9650,146.11,16:07:00.000,,,,,,
56,,,,,,,,16:07:21.518,0.9644,0.9650,0.9644,0.9650,237.68,16:07:00.000,,,,,,
57,,,,,,,,16:07:22.511,0.9644,0.9652,0.9644,0.9652,673.58,16:07:00.000,,,,,,
58,,,,,,,,16:07:22.511,0.9644,0.9653,0.9644,0.9653,895.96,16:07:00.000,,,,,,
59,,,,,,,,16:07:22.512,0.9644,0.9654,0.9644,0.9654,997.32,16:07:00.000,,,,,,
60,,,,,,,,16:07:29.100,0.9644,0.9657,0.9644,0.9657,1067.79,16:07:00.000,,,,,,
