Event,GR_ReceivedAt,GR_O,GR_H,GR_L,GR_C,GR_V,GR_TS,MB_ReceivedAt,MB_O,MB_H,MB_L,MB_C,MB_V,MB_TS,CX_ReceivedAt,CX_O,CX_H,CX_L,CX_C,CX_TS
1,16:14:19.937,0.9959,0.9962,0.9959,0.9962,0.19,2026-01-16T16:14:00Z,16:14:20.634,0.9665,0.9670,0.9665,0.9670,609.83,16:14:00.000,16:14:21.158,0.9583,0.9648,0.9580,0.9645,16:14:19.000
2,16:14:20.939,0.9959,0.9962,0.9959,0.9962,0.19,2026-01-16T16:14:00Z,16:14:26.879,0.9665,0.9670,0.9664,0.9664,636.15,16:14:00.000,16:14:26.688,0.9583,0.9648,0.9580,0.9645,16:14:25.000
3,16:14:26.973,0.9959,0.9962,0.9959,0.9961,0.19,2026-01-16T16:14:00Z,16:14:31.370,0.9665,0.9670,0.9663,0.9663,753.03,16:14:00.000,16:14:30.689,0.9583,0.9648,0.9580,0.9645,16:14:29.000
4,16:14:30.874,0.9959,0.9962,0.9959,0.9961,0.23,2026-01-16T16:14:00Z,16:14:43.062,0.9665,0.9670,0.9662,0.9662,1012.89,16:14:00.000,16:14:42.768,0.9583,0.9648,0.9580,0.9644,16:14:41.000
5,16:14:42.610,0.9959,0.9962,0.9959,0.9960,0.31,2026-01-16T16:14:00Z,16:14:45.137,0.9665,0.9670,0.9662,0.9662,1017.72,16:14:00.000,16:14:44.048,0.9583,0.9648,0.9580,0.9644,16:14:43.000
6,16:14:44.602,0.9959,0.9962,0.9959,0.9960,0.31,2026-01-16T16:14:00Z,16:14:48.534,0.9665,0.9670,0.9661,0.9661,1123.79,16:14:00.000,16:14:48.767,0.9583,0.9648,0.9580,0.9643,16:14:47.000
7,16:14:48.536,0.9959,0.9962,0.9959,0.9959,0.35,2026-01-16T16:14:00Z,16:14:48.535,0.9665,0.9670,0.9661,0.9661,1159.25,16:14:00.000,16:15:03.834,0.9583,0.9648,0.9580,0.9644,16:15:01.000
8,16:15:03.835,0.9959,0.9960,0.9960,0.9960,0.04,2026-01-16T16:15:00Z,16:15:02.680,0.9661,0.9671,0.9661,0.9671,145.66,16:15:00.000,16:15:05.408,0.9583,0.9650,0.9580,0.9650,16:15:03.000
9,16:15:08.717,0.9959,0.9969,0.9960,0.9969,0.66,2026-01-16T16:15:00Z,16:15:05.084,0.9661,0.9674,0.9661,0.9674,1144.98,16:15:00.000,16:15:08.556,0.9583,0.9653,0.9580,0.9653,16:15:07.000
10,16:15:12.744,0.9959,0.9969,0.9960,0.9966,0.81,2026-01-16T16:15:00Z,16:15:05.085,0.9661,0.9677,0.9661,0.9677,1644.67,16:15:00.000,16:15:12.968,0.9583,0.9653,0.9580,0.9651,16:15:11.000
11,16:15:18.900,0.9959,0.9969,0.9960,0.9966,0.84,2026-01-16T16:15:00Z,16:15:09.104,0.9661,0.9679,0.9661,0.9679,2145.10,16:15:00.000,16:15:18.377,0.9583,0.9653,0.9580,0.9651,16:15:17.000
12,16:15:21.185,0.9959,0.9969,0.9960,0.9964,0.94,2026-01-16T16:15:00Z,16:15:09.115,0.9661,0.9679,0.9661,0.9671,2150.40,16:15:00.000,16:15:21.026,0.9583,0.9653,0.9580,0.9649,16:15:19.000
13,16:15:22.593,0.9959,0.9969,0.9960,0.9963,1.06,2026-01-16T16:15:00Z,16:15:14.492,0.9661,0.9679,0.9661,0.9670,2633.39,16:15:00.000,16:15:23.046,0.9583,0.9653,0.9580,0.9648,16:15:21.000
14,16:15:25.276,0.9959,0.9969,0.9960,0.9961,1.20,2026-01-16T16:15:00Z,16:15:18.708,0.9661,0.9679,0.9661,0.9668,2740.60,16:15:00.000,16:15:25.101,0.9583,0.9653,0.9580,0.9645,16:15:23.000
15,16:15:42.860,0.9959,0.9969,0.9960,0.9960,1.23,2026-01-16T16:15:00Z,16:15:21.101,0.9661,0.9679,0.9661,0.9668,2971.73,16:15:00.000,16:15:43.152,0.9583,0.9653,0.9580,0.9646,16:15:41.000
16,16:15:44.833,0.9959,0.9969,0.9958,0.9958,1.40,2026-01-16T16:15:00Z,16:15:21.101,0.9661,0.9679,0.9661,0.9667,3088.87,16:15:00.000,16:15:44.622,0.9583,0.9653,0.9580,0.9643,16:15:43.000
17,16:15:47.904,0.9959,0.9969,0.9956,0.9956,1.51,2026-01-16T16:15:00Z,16:15:23.166,0.9661,0.9679,0.9661,0.9666,3453.57,16:15:00.000,16:15:48.933,0.9583,0.9653,0.9580,0.9642,16:15:45.000
18,16:15:50.900,0.9959,0.9969,0.9950,0.9950,1.95,2026-01-16T16:15:00Z,16:15:25.548,0.9661,0.9679,0.9661,0.9665,3569.63,16:15:00.000,16:15:49.895,0.9583,0.9653,0.9580,0.9641,16:15:47.000
19,16:15:55.131,0.9959,0.9969,0.9949,0.9949,2.03,2026-01-16T16:15:00Z,16:15:25.556,0.9661,0.9679,0.9661,0.9664,3924.68,16:15:00.000,16:15:50.913,0.9583,0.9653,0.9580,0.9636,16:15:49.000
