Event,GoldRush_ReceivedAt,GoldRush_DataTS,Mobula_ReceivedAt,Mobula_TradeTS,Mobula_Hash,Codex_ReceivedAt,Codex_DataTS
28,20:42:35.070,2026-01-14T20:42:33Z,20:39:01.378,20:38:59.000,0x733499f28fb0e81016965598245dba2397d1076e9ddb0df6c7c5157cbd3e4e9a,20:42:37.081,20:42:35.000
29,20:42:37.602,2026-01-14T20:42:35Z,20:39:01.378,20:38:59.000,0x733499f28fb0e81016965598245dba2397d1076e9ddb0df6c7c5157cbd3e4e9a,20:42:39.442,20:42:37.000
30,20:42:39.181,2026-01-14T20:42:37Z,20:39:01.378,20:38:59.000,0x56078f273b2b9ba45dc0f489a914e92c33e667cfc742bd92d0b33248db7dbbd9,20:42:42.517,20:42:41.000
31,20:42:44.419,2026-01-14T20:42:41Z,20:39:01.381,20:38:59.000,0x6e93acd3b91be5559a7c942b20672d10727eeb121fd2646bac544380817f320c,20:42:51.462,20:42:49.000
32,20:42:51.761,2026-01-14T20:42:49Z,20:39:01.408,20:38:59.000,0x0bc1b09b3faf8c228bf1cb6d9666681b0c853790409b4bcc82e56e46aea530c6,20:43:05.504,20:43:03.000
33,20:43:07.031,2026-01-14T20:43:03Z,20:39:02.648,20:39:01.000,0x5af585f8954ff8c2ffb181d0b9e2ac6b3fa0aa381e0439be8e91e39e2afb2243,20:43:07.121,20:43:05.000
34,20:43:08.656,2026-01-14T20:43:05Z,20:39:02.649,20:39:01.000,0x6edab1952c95a34a32500a10b8921e5c561595618841502d4d63ad0d3c9e52ef,20:43:08.609,20:43:07.000
35,20:43:09.450,2026-01-14T20:43:07Z,20:39:02.650,20:39:01.000,0x6b0fcd0db65de3dca602342525dda58d5ffed6d20394d7fff0a751cb29160ace,20:43:11.233,20:43:09.000
36,20:43:11.239,2026-01-14T20:43:09Z,20:39:09.471,20:39:07.000,0x8415ebd77b5c5ea0ee2f2b2e88264684881cae18900ec907b1052dce092d6fd5,20:43:18.666,20:43:17.000
37,20:43:19.186,2026-01-14T20:43:17Z,20:39:26.779,20:39:25.000,0xc341b13ffbda0500c057cd7ddadabb0f90e2914a4fb58d5a8d00654c67c5b765,20:43:24.579,20:43:23.000
38,20:43:24.586,2026-01-14T20:43:23Z,20:40:28.901,20:40:27.000,0xf2ca5dde7759d5c18168ec4a377de685b9b0f75c9fbf7b547fb0b3f0648a841c,20:43:27.532,20:43:25.000
39,20:43:27.678,2026-01-14T20:43:25Z,20:40:28.901,20:40:27.000,0xf2ca5dde7759d5c18168ec4a377de685b9b0f75c9fbf7b547fb0b3f0648a841c,20:43:28.704,20:43:27.000
40,20:43:29.129,2026-01-14T20:43:27Z,20:41:34.690,20:41:33.000,0x29f93428baa88a3ed4bc9d71d1da4611faba733bf044d672714151ae698cbd3b,20:43:51.261,20:43:49.000
41,20:43:51.038,2026-01-14T20:43:49Z,20:41:45.703,20:41:43.000,0xd0f59cc0b10ba48350b7c0e38de1943b33a077930e479d026984b4a33c845645,20:43:55.454,20:43:53.000
42,20:43:55.728,2026-01-14T20:43:53Z,20:41:49.119,20:41:47.000,0xd2637d92928325dc71723e169aaf7b4cedf5434f447ea1171c80a98b94e13daa,20:44:03.377,20:44:01.000
43,20:44:03.340,2026-01-14T20:44:01Z,20:41:52.560,20:41:51.000,0xfc37452134194c85cf01d242067f0ec24df988a3cb896aabea9dc79f1366e06a,20:44:24.566,20:44:23.000
44,20:44:52.795,2026-01-14T20:44:49Z,20:42:34.984,20:42:33.000,0x8535c51d106a12f9bc940b0d000ae625867c0fa4c1b85a2cd6e91591e64d0313,20:44:50.756,20:44:49.000
45,20:44:55.152,2026-01-14T20:44:53Z,20:42:38.256,20:42:35.000,0xeca4a439c9a0e0a805b74e67514e2fe7e249d139bebf2eb46000d119de4da62a,20:44:54.587,20:44:53.000
46,20:45:59.036,2026-01-14T20:45:57Z,20:42:39.701,20:42:37.000,0x639313b802d0b3387e3dbf364285b2b80bc9c7f695b74e41b1665bbeba6a2dd0,20:45:36.125,20:45:33.000
47,20:46:29.844,2026-01-14T20:46:25Z,20:42:39.701,20:42:37.000,0xa99ef3d1dc89e2a18b4061d26e83068a81759b5cca70a0f7e8ceb658709fee6e,20:45:58.511,20:45:57.000
48,20:46:44.835,2026-01-14T20:46:43Z,20:42:39.701,20:42:37.000,0xc5ae008a4f38527d3d89450c9fd6e127a86e543ce8e84823e3c0a51fea99232e,20:46:26.993,20:46:25.000
49,20:46:55.847,2026-01-14T20:46:51Z,20:42:39.704,20:42:37.000,0xe1341ba7b32b25072388f8d41ed51798545a51847273f16b71dfdfde32e91f55,20:46:38.759,20:46:37.000
50,,,20:42:42.572,20:42:41.000,0x60752466479abedc4df093facd6d936c5827df19ec01f266adaad090c0183212,20:46:44.660,20:46:43.000
51,,,20:42:52.072,20:42:49.000,0xea9c7b64a9d83ce2aa4ab26814c6f605121e4aabe5924d8a046dd4c83b85f223,20:46:53.508,20:46:51.000
52,,,20:43:05.060,20:43:03.000,0xd6e34686a04e005853da46a72c540e0ec7c5ccd71c0d8d16928db5b39a4cdc2f,,
53,,,20:43:07.508,20:43:05.000,0x3ea08330265602fce072d1d5d24c7b19476af09ba3b5b9f3aebbfa0eb8fa0a2a,,
54,,,20:43:07.509,20:43:05.000,0x754308cd3a9b91f05cbdac58b0e56117255be4a72d546db72263f842d7f49ccc,,
55,,,20:43:08.538,20:43:07.000,0xa87acb2c6453e5e6f1a11e2ce4c17da689e851e9c68a71d30746adaa60dc5cdd,,
56,,,20:43:08.539,20:43:07.000,0xd490f27486cfe8b6111dac0a3da514df409dba006f60045595182e7e934498d2,,
57,,,20:43:10.933,20:43:09.000,0xf09696e5a4954cd1f83095340cd31249819c50223ee2e730605dd3f3d68b6b44,,
58,,,20:43:10.933,20:43:09.000,0x427e6ecabd14ce1a1b4e42a044e67964fbb8df43450f06d533a9d3b47e6dfb67,,
59,,,20:43:19.245,20:43:17.000,0x5d620c3f47d03f4360cb43b85cd2386d8518b02202c616de0885e346345bf419,,
60,,,20:43:24.844,20:43:23.000,0xbacfc2356281990436bbd3915596049287223d2854f0cae822e5b393a1e2ec07,,
61,,,20:43:27.458,20:43:25.000,0x77930807739ceefdab0e7ff47494ae3229d9702f8a77e02533889845e72fb46c,,
62,,,20:43:29.002,20:43:27.000,0x449bbd953a984c516fda8e2176a1b52ca731e314c17fae2cb782605ac5d9e3f2,,
63,,,20:43:51.593,20:43:49.000,0x8688511e5e9871636e6c84773baaff0923ae991d1156127599a3bb2d905572b5,,
64,,,20:43:55.723,20:43:53.000,0xc1f6a648e328de3522af81ed68a3bd7c88570dc92ba601a0665a5b82d6fa749d,,
65,,,20:43:55.723,20:43:53.000,0x6d20ce91cfb4acb88165ef346e7789dba3805ff153dc7244bb95ef7ff9c51792,,
66,,,20:44:03.594,20:44:01.000,0xedf52cdf8668c7300bebbf55863a0f3f1deeadf5b86ee92c7f65d7d22b8c8e75,,
67,,,20:44:24.565,20:44:23.000,0xbc507d1daa6f44aecbbfee697fc890c783a399c5b42b2da86e804c1f20295de0,,
68,,,20:44:51.298,20:44:49.000,0x4903585c0ef6cebf1abcc422f10122ac268b195c4c8d417fd580efac8bac09fb,,
69,,,20:44:55.489,20:44:53.000,0xc2c7259341cb9f5170474511618057f43ebd3667cf2987420d1b58023eae2fb9,,
70,,,20:45:36.176,20:45:33.000,0x60a2242de5c86e951119252442164fde98f31241f729fe72a52b7db2b1ac51e8,,
71,,,20:45:59.902,20:45:57.000,0x283a1f377ae8b410bf9ce7c702b9189f88e650e548e6c8ee1f90b3246296e733,,
72,,,20:46:27.212,20:46:25.000,0xc7a193085cec53190d4e1d0e59cec31c8a8caa9681a18c303bdcf0483b77a2e5,,
73,,,20:46:38.590,20:46:37.000,0x9aad882d787a89f035c04c4c926006e91fb91d95ced94671b9dc8c43c4c45760,,
74,,,20:46:45.925,20:46:43.000,0x35ed53cf1ec0c2db3b2ee27b5c6c7703d91d5d800f78cf99f46dc0b7bbe0e884,,
75,,,20:46:53.460,20:46:51.000,0xa3fc31bb50719a476bff631c5319c59cb01e8e3a7044b7aa6677f25a34744125,,
