Event,GoldRush_ReceivedAt,GoldRush_DataTS,Mobula_ReceivedAt,Mobula_TradeTS,Mobula_Hash,Codex_ReceivedAt,Codex_DataTS
1,20:37:09.442,2026-01-14T20:36:55Z,20:37:18.040,20:37:15.000,0x46ce0d6ebc26b727a1405ae559cdbcad218b8a25b2fceac8ac4d5885ff22bfaa,20:37:16.744,20:37:15.000
2,20:37:17.294,2026-01-14T20:37:15Z,20:37:46.896,20:37:45.000,0x731b76ab68acd8a6baa9e679b95bdcf677f4811c93f896e95ee52a785ebaced0,20:37:47.338,20:37:45.000
3,20:37:47.839,2026-01-14T20:37:45Z,20:37:46.897,20:37:45.000,0xf2cae365c7290ff3882687604b608c7df7065198de0f42818ba3fd32b9959279,20:37:49.005,20:37:47.000
4,20:37:51.341,2026-01-14T20:37:47Z,20:37:49.562,20:37:47.000,0x4cf4b1175571802a893c2e16986acb593c43daed3626997fe8ed265dc85b80ec,20:38:01.410,20:37:59.000
5,20:38:01.881,2026-01-14T20:37:59Z,20:38:01.317,20:37:59.000,0xcf1744f3a97bded5a27f833a669ae593e2edc3523b94ed632a84b06582f3488a,20:38:03.406,20:38:01.000
6,20:38:03.658,2026-01-14T20:38:01Z,20:38:03.986,20:38:01.000,0x2d20d050a1b779c7f636da11dde2a89450c4a9c4d8a8b3ea3fb55835b50be24c,20:38:04.993,20:38:03.000
7,20:38:05.158,2026-01-14T20:38:03Z,20:38:05.161,20:38:03.000,0x0f944cd96b005a9219f0b4f6c04705478ae3459ee6772a5be006079e0b1451f3,20:38:07.355,20:38:05.000
8,20:38:07.290,2026-01-14T20:38:05Z,20:38:06.392,20:38:05.000,0xc19fdc72df95fedf254bd0bfc7688e53e37357ff31297c85d63210db3b24e46b,20:38:09.177,20:38:07.000
9,20:38:09.690,2026-01-14T20:38:07Z,20:38:06.394,20:38:05.000,0x792abaa4f187bcdf1990f0ff30a61a0f236fba87ecb85b23e2cc90a375b12896,20:38:10.793,20:38:09.000
10,20:38:11.042,2026-01-14T20:38:09Z,20:38:10.310,20:38:07.000,0x24706f6da4100db65bf39aceba9ef05dce5c2010f4ecf6c5b98f2ad3bea55eb1,20:38:12.935,20:38:11.000
11,20:38:13.884,2026-01-14T20:38:11Z,20:38:10.315,20:38:07.000,0x3a33a39e6181efb3da2c14caa76c434450a370466216c216b308d6175f23beda,20:38:33.066,20:38:31.000
12,20:38:33.133,2026-01-14T20:38:31Z,20:38:10.321,20:38:07.000,0xe1650fafbb3db19b03d69f6faf89408abd5e90d3759405909215e9b71ba9d033,20:39:00.080,20:38:47.000
13,20:38:50.105,2026-01-14T20:38:47Z,20:38:11.608,20:38:09.000,0x73e1ca7a3dbcf9eb2a650af987f83e3f33f1b558145b9e7d123756026cc4e79e,20:39:03.381,20:38:51.000
14,20:38:52.683,2026-01-14T20:38:49Z,20:38:12.951,20:38:11.000,0xe85ad9bf0cc7706ea259e30d54c681fd7341a1746beefbc00f959e37bbd14223,20:39:03.382,20:38:49.000
15,20:38:55.333,2026-01-14T20:38:51Z,20:38:12.954,20:38:11.000,0x64a4482a1e4c8bcbe83957be3f662a7faab70fa73af38efb8ec2adc5861cad46,20:39:06.861,20:38:55.000
16,20:38:59.839,2026-01-14T20:38:55Z,20:38:33.282,20:38:31.000,0x2286e6ed80bfab4122a793f39531ccc5783559bb049b7d64f076a7fd3845ac2e,20:39:06.879,20:38:57.000
17,20:39:00.760,2026-01-14T20:38:57Z,20:38:49.234,20:38:47.000,0x8169ee39b1ee7a3256fee855ab6dc1cc7d1ccccd89a2057a09790d910d3b1816,20:39:06.885,20:38:59.000
18,20:39:02.885,2026-01-14T20:38:59Z,20:38:49.235,20:38:47.000,0x0a04c302e7d766aebdd7edd4b4d5105cea4ce03d350969c4310a74f8f6b829c5,20:39:07.507,20:39:01.000
19,20:39:04.363,2026-01-14T20:39:01Z,20:38:49.235,20:38:47.000,0x9e7fa853d7ac78d0b561a57de6b277d3e6910ea96ee42c352576a2cfc1921fee,20:39:09.815,20:39:07.000
20,20:39:10.002,2026-01-14T20:39:07Z,20:38:51.739,20:38:49.000,0x7f429f7bbdba93d3d4a9d15065b2b2fea377b3e2650ffc21e01e922818a0200c,20:39:26.780,20:39:25.000
21,20:39:27.516,2026-01-14T20:39:25Z,20:38:51.739,20:38:49.000,0x62ecfb22210fe30cf84977812cb2acc5e27ee395b4766066f4ee71f5e70ac90d,20:40:16.384,20:40:15.000
22,20:40:16.867,2026-01-14T20:40:15Z,20:38:51.739,20:38:49.000,0x068d34599f5b261e044bd281e3be0d84e0b73c9dd14b3dae96b62576b1801659,20:40:28.410,20:40:27.000
23,20:40:28.739,2026-01-14T20:40:27Z,20:38:54.116,20:38:51.000,0x17a40b5e50f3613ac0bf230e02d9faef6c12c9b2b1a262d6c721ee1479477386,20:41:34.526,20:41:33.000
24,20:41:35.274,2026-01-14T20:41:33Z,20:38:57.611,20:38:55.000,0x80ecb4dd1e74d2e76f71cf24e45fc05265c442229df9051ea00a2aafb9faf2da,20:41:44.970,20:41:43.000
25,20:41:45.262,2026-01-14T20:41:43Z,20:38:58.975,20:38:57.000,0xcadcbf5d6a99a0873538a755c78221752ce4241b6db35b1d47d0f5c6fefad8f7,20:41:48.862,20:41:47.000
26,20:41:49.903,2026-01-14T20:41:47Z,20:38:58.975,20:38:57.000,0x8b343cdf87434449a1897620048f4e4b6205d3621eaccb0847068a2e1650912c,20:41:52.678,20:41:51.000
27,20:41:53.046,2026-01-14T20:41:51Z,20:39:01.327,20:38:59.000,0xf975d45032d3cf9c09f7ad72528d19910c81f858086fcbd7272253e202bbd76c,20:42:35.202,20:42:33.000
