Event,GR_ReceivedAt,GR_O,GR_H,GR_L,GR_C,GR_V,GR_TS,MB_ReceivedAt,MB_O,MB_H,MB_L,MB_C,MB_V,MB_TS,CX_ReceivedAt,CX_O,CX_H,CX_L,CX_C,CX_TS
1,16:20:44.213,,,,,,2026-01-16T16:20:29Z,16:20:42.288,0.9697,0.9706,0.9695,0.9706,2406.85,16:20:00.000,16:20:54.413,0.9583,0.9693,0.9580,0.9692,16:20:53.000
2,16:20:54.438,,,,,,2026-01-16T16:20:53Z,16:20:55.620,0.9697,0.9709,0.9695,0.9709,2782.19,16:20:00.000,16:21:04.756,0.9583,0.9693,0.9580,0.9688,16:21:03.000
3,16:21:05.352,,,,,,2026-01-16T16:21:03Z,16:21:05.294,0.9709,0.9709,0.9707,0.9707,494.57,16:21:00.000,16:21:07.335,0.9583,0.9693,0.9580,0.9684,16:21:05.000
4,16:21:07.519,,,,,,2026-01-16T16:21:05Z,16:21:05.306,0.9709,0.9709,0.9706,0.9706,750.67,16:21:00.000,16:21:09.044,0.9583,0.9693,0.9580,0.9682,16:21:07.000
5,16:21:09.076,,,,,,2026-01-16T16:21:07Z,16:21:05.307,0.9709,0.9709,0.9705,0.9705,878.80,16:21:00.000,16:21:12.954,0.9583,0.9693,0.9580,0.9678,16:21:11.000
6,16:21:12.666,,,,,,2026-01-16T16:21:11Z,16:21:07.583,0.9709,0.9709,0.9703,0.9703,1378.84,16:21:00.000,16:21:25.265,0.9583,0.9693,0.9580,0.9677,16:21:23.000
7,16:21:25.620,,,,,,2026-01-16T16:21:23Z,16:21:07.607,0.9709,0.9709,0.9701,0.9701,1593.21,16:21:00.000,16:21:29.368,0.9583,0.9693,0.9580,0.9676,16:21:27.000
8,16:21:30.275,,,,,,2026-01-16T16:21:27Z,16:21:07.616,0.9709,0.9709,0.9701,0.9701,1684.66,16:21:00.000,16:21:31.122,0.9583,0.9693,0.9580,0.9675,16:21:29.000
9,16:21:30.804,,,,,,2026-01-16T16:21:29Z,16:21:09.907,0.9709,0.9709,0.9698,0.9698,2184.85,16:21:00.000,16:21:35.325,0.9583,0.9693,0.9580,0.9674,16:21:33.000
10,16:21:34.962,,,,,,2026-01-16T16:21:33Z,16:21:13.205,0.9709,0.9709,0.9695,0.9695,2820.13,16:21:00.000,16:21:36.408,0.9583,0.9693,0.9580,0.9673,16:21:35.000
